Item,Gabarito
QUESTÃO DISCURSIVA 1,***
QUESTÃO DISCURSIVA 2,***
QUESTÃO 1,E
QUESTÃO 2,C
QUESTÃO 3,B
QUESTÃO 4,B
QUESTÃO 5,A
QUESTÃO 6,A
QUESTÃO 7,C
QUESTÃO 8,D
QUESTÃO DISCURSIVA 3,***
QUESTÃO DISCURSIVA 4,***
QUESTÃO DISCURSIVA 5,***
QUESTÃO 9,E
QUESTÃO 10,B
QUESTÃO 11,D
QUESTÃO 12,B
QUESTÃO 13,E
QUESTÃO 14,C
QUESTÃO 15,C
QUESTÃO 16,B
QUESTÃO 17,C
QUESTÃO 18,E
QUESTÃO 19,D
QUESTÃO 20,A
QUESTÃO 21,E
QUESTÃO 22,A
QUESTÃO 23,C
QUESTÃO 24,E
QUESTÃO 25,B
QUESTÃO 26,A
QUESTÃO 27,D
QUESTÃO 28,B
QUESTÃO 29,ANULADA
QUESTÃO 30,E
QUESTÃO 31,E
QUESTÃO 32,A
QUESTÃO 33,ANULADA
QUESTÃO 34,C
QUESTÃO 35,D
